YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2021,12,21,11,35,MM,2.1,MM,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,21,11,15,0,MM,5.7,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,21,10,55,MM,2.6,MM,MM,MM,MM,MM,MM,17,MM,15,8.7,MM,MM
2021,12,21,10,35,MM,2.1,5.7,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,21,10,15,MM,3.1,MM,MM,MM,MM,MM,MM,18,MM,15,7.8,MM,MM
2021,12,21,9,55,MM,2.6,5.1,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,21,9,35,MM,3.1,5.7,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,21,9,15,MM,3.1,MM,MM,MM,MM,MM,MM,18,MM,16,8.7,MM,MM
2021,12,21,8,55,340,3.6,10.3,MM,MM,MM,MM,MM,18,MM,16,6.1,MM,MM
2021,12,21,8,35,MM,2.1,MM,MM,MM,MM,MM,MM,18,MM,16,2.6,MM,MM
2021,12,21,8,15,MM,3.1,MM,MM,MM,MM,MM,MM,18,MM,16,8.7,MM,MM
2021,12,21,7,55,MM,2.6,8.2,MM,MM,MM,MM,MM,18,MM,16,7,MM,MM
2021,12,21,7,35,MM,2.6,8.2,MM,MM,MM,MM,MM,18,MM,16,8.7,MM,MM
2021,12,21,7,15,MM,2.6,9.8,MM,MM,MM,MM,MM,18,MM,16,7.8,MM,MM
2021,12,21,6,55,30,9.8,MM,MM,MM,MM,MM,MM,18,MM,16,8.7,MM,MM
2021,12,21,6,35,20,8.8,MM,MM,MM,MM,MM,MM,17,MM,16,8.7,MM,MM
2021,12,21,6,15,20,8.8,MM,MM,MM,MM,MM,MM,18,MM,16,1.7,MM,MM
2021,12,21,5,55,30,8.2,10.8,MM,MM,MM,MM,MM,18,MM,16,1.1,MM,MM
2021,12,21,5,35,20,10.8,MM,MM,MM,MM,MM,MM,18,MM,16,1.3,MM,MM
2021,12,21,5,15,MM,2.6,8.2,MM,MM,MM,MM,MM,18,MM,16,1.7,MM,MM
2021,12,21,4,55,20,7.7,10.8,MM,MM,MM,MM,MM,18,MM,16,1.7,MM,MM
2021,12,21,4,35,20,7.7,MM,MM,MM,MM,MM,MM,18,MM,16,1.7,MM,MM
2021,12,21,4,15,20,7.7,11.8,MM,MM,MM,MM,MM,18,MM,15,4.3,MM,MM
2021,12,21,3,55,30,6.2,MM,MM,MM,MM,MM,MM,19,MM,15,6.1,MM,MM
2021,12,21,3,35,30,8.2,10.8,MM,MM,MM,MM,MM,19,MM,14,8.7,MM,MM
2021,12,21,3,15,30,8.2,11.3,MM,MM,MM,MM,MM,19,MM,14,8.7,MM,MM
2021,12,21,2,55,30,7.2,MM,MM,MM,MM,MM,MM,18,MM,13,8.7,MM,MM
2021,12,21,2,35,50,7.7,12.9,MM,MM,MM,MM,MM,18,MM,13,8.7,MM,MM
2021,12,21,2,15,50,6.7,11.3,MM,MM,MM,MM,MM,18,MM,14,8.7,MM,MM
2021,12,21,1,55,50,10.3,13.4,MM,MM,MM,MM,MM,18,MM,13,8.7,MM,MM
2021,12,21,1,35,50,8.2,12.9,MM,MM,MM,MM,MM,18,MM,13,8.7,MM,MM
2021,12,21,1,15,60,11.8,14.4,MM,MM,MM,MM,MM,18,MM,14,8.7,MM,MM
2021,12,21,0,55,60,12.4,14.9,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,21,0,35,60,13.4,MM,MM,MM,MM,MM,MM,17,MM,13,2.6,MM,MM
2021,12,21,0,15,50,10.8,MM,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,23,55,60,12.4,MM,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,23,35,50,8.8,12.4,MM,MM,MM,MM,MM,17,MM,14,4.3,MM,MM
2021,12,20,23,15,50,8.8,12.4,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,22,55,60,11.8,MM,MM,MM,MM,MM,MM,16,MM,12,2.6,MM,MM
2021,12,20,22,35,60,10.3,MM,MM,MM,MM,MM,MM,16,MM,13,2.2,MM,MM
2021,12,20,22,15,70,10.8,MM,MM,MM,MM,MM,MM,16,MM,13,2.2,MM,MM
2021,12,20,21,55,60,9.8,MM,MM,MM,MM,MM,MM,16,MM,13,1.7,MM,MM
2021,12,20,21,35,50,7.7,12.4,MM,MM,MM,MM,MM,16,MM,13,2.6,MM,MM
2021,12,20,21,15,40,6.7,11.8,MM,MM,MM,MM,MM,16,MM,13,2.6,MM,MM
2021,12,20,20,55,40,5.7,11.3,MM,MM,MM,MM,MM,16,MM,12,7,MM,MM
2021,12,20,20,35,30,6.7,11.3,MM,MM,MM,MM,MM,16,MM,13,1.7,MM,MM
2021,12,20,20,15,50,6.7,10.3,MM,MM,MM,MM,MM,16,MM,13,3.5,MM,MM
2021,12,20,19,55,30,6.7,11.8,MM,MM,MM,MM,MM,16,MM,13,6.1,MM,MM
2021,12,20,19,35,20,8.8,12.4,MM,MM,MM,MM,MM,16,MM,12,8.7,MM,MM
2021,12,20,19,15,30,9.3,11.8,MM,MM,MM,MM,MM,16,MM,14,7,MM,MM
2021,12,20,18,55,30,5.1,8.2,MM,MM,MM,MM,MM,16,MM,13,4.3,MM,MM
2021,12,20,18,35,30,4.1,MM,MM,MM,MM,MM,MM,16,MM,13,2.2,MM,MM
2021,12,20,18,15,40,4.6,8.2,MM,MM,MM,MM,MM,16,MM,13,1.7,MM,MM
2021,12,20,17,55,40,5.1,8.2,MM,MM,MM,MM,MM,16,MM,13,1.5,MM,MM
2021,12,20,17,35,30,4.6,MM,MM,MM,MM,MM,MM,16,MM,13,1.1,MM,MM
2021,12,20,17,15,30,7.2,MM,MM,MM,MM,MM,MM,16,MM,13,1.3,MM,MM
2021,12,20,16,55,30,6.2,MM,MM,MM,MM,MM,MM,17,MM,14,1.7,MM,MM
2021,12,20,16,35,40,5.1,7.7,MM,MM,MM,MM,MM,17,MM,14,2.2,MM,MM
2021,12,20,16,15,60,8.8,MM,MM,MM,MM,MM,MM,17,MM,14,2.6,MM,MM
2021,12,20,15,55,60,7.7,10.3,MM,MM,MM,MM,MM,17,MM,14,2.2,MM,MM
2021,12,20,15,35,50,6.7,MM,MM,MM,MM,MM,MM,17,MM,14,2.6,MM,MM
2021,12,20,15,15,50,6.7,9.3,MM,MM,MM,MM,MM,17,MM,14,2.2,MM,MM
2021,12,20,14,55,50,6.2,MM,MM,MM,MM,MM,MM,17,MM,14,1.7,MM,MM
2021,12,20,14,35,50,5.7,8.2,MM,MM,MM,MM,MM,17,MM,14,5.2,MM,MM
2021,12,20,14,15,40,4.6,8.8,MM,MM,MM,MM,MM,17,MM,14,2.6,MM,MM
2021,12,20,13,55,40,6.7,9.8,MM,MM,MM,MM,MM,17,MM,13,3.5,MM,MM
2021,12,20,13,35,30,6.2,9.3,MM,MM,MM,MM,MM,17,MM,13,7.8,MM,MM
2021,12,20,13,15,30,6.2,9.8,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,12,55,50,6.7,MM,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,12,35,40,6.2,MM,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,12,15,50,7.7,10.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,11,55,40,6.2,9.3,MM,MM,MM,MM,MM,16,MM,14,8.7,MM,MM
2021,12,20,11,35,30,5.7,9.8,MM,MM,MM,MM,MM,16,MM,13,7,MM,MM
2021,12,20,11,15,60,7.2,MM,MM,MM,MM,MM,MM,16,MM,13,3.5,MM,MM
2021,12,20,10,55,40,3.1,7.2,MM,MM,MM,MM,MM,16,MM,13,7,MM,MM
2021,12,20,10,35,50,3.1,6.7,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,10,15,20,5.1,8.2,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,9,55,40,4.6,8.8,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,9,35,30,8.2,MM,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,9,15,20,7.2,10.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,8,55,30,6.7,9.8,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,8,35,30,5.7,9.8,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,8,15,20,9.3,MM,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,7,55,30,7.2,MM,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,7,35,30,5.1,8.2,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,7,15,40,5.7,9.8,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,6,55,30,7.2,MM,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,6,35,30,5.1,7.7,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,6,15,30,7.2,11.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,5,55,30,7.2,11.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,5,35,30,6.2,10.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,5,15,20,7.2,MM,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,4,55,20,8.8,MM,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,4,35,MM,3.1,9.8,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,4,15,20,7.7,MM,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,3,55,20,5.7,11.3,MM,MM,MM,MM,MM,16,MM,13,8.7,MM,MM
2021,12,20,3,35,30,8.8,11.3,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,3,15,MM,2.1,10.3,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,2,55,350,3.6,10.3,MM,MM,MM,MM,MM,17,MM,13,8.7,MM,MM
2021,12,20,2,35,MM,3.1,10.3,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,2,15,20,5.7,12.9,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,1,55,360,5.1,13.4,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,1,35,10,4.6,11.8,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,1,15,10,6.2,11.3,MM,MM,MM,MM,MM,18,MM,14,8.7,MM,MM
2021,12,20,0,55,10,6.2,12.4,MM,MM,MM,MM,MM,17,MM,14,8.7,MM,MM
2021,12,20,0,35,20,7.7,11.3,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,20,0,15,20,11.3,MM,MM,MM,MM,MM,MM,18,MM,14,8.7,MM,MM
2021,12,19,23,55,20,8.2,11.3,MM,MM,MM,MM,MM,18,MM,14,8.7,MM,MM
2021,12,19,23,35,350,4.1,10.3,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,23,15,MM,3.1,10.3,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,22,55,20,8.2,11.3,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,22,35,MM,5.1,9.8,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,22,15,MM,3.1,10.8,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,21,55,360,4.6,11.8,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,21,35,10,6.2,12.4,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,21,15,20,11.3,MM,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,20,55,20,9.8,MM,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,20,35,10,4.1,12.9,MM,MM,MM,MM,MM,18,MM,15,8.7,MM,MM
2021,12,19,20,15,10,5.7,11.8,MM,MM,MM,MM,MM,18,MM,16,7.8,MM,MM
2021,12,19,19,55,MM,2.6,8.2,MM,MM,MM,MM,MM,20,MM,16,8.7,MM,MM
2021,12,19,19,35,MM,2.1,MM,MM,MM,MM,MM,MM,20,MM,17,8.7,MM,MM
2021,12,19,19,15,MM,2.6,7.7,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,18,55,MM,2.6,5.1,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,18,35,MM,2.1,5.1,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,18,15,MM,2.6,9.8,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,17,55,MM,2.6,8.2,MM,MM,MM,MM,MM,21,MM,16,8.7,MM,MM
2021,12,19,17,35,350,5.1,10.3,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,17,15,MM,2.6,12.4,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,16,55,MM,2.1,9.3,MM,MM,MM,MM,MM,21,MM,17,8.7,MM,MM
2021,12,19,16,35,MM,2.1,7.2,MM,MM,MM,MM,MM,21,MM,18,8.7,MM,MM
2021,12,19,16,15,MM,3.1,8.8,MM,MM,MM,MM,MM,21,MM,18,8.7,MM,MM
2021,12,19,15,55,MM,2.6,MM,MM,MM,MM,MM,MM,22,MM,18,8.7,MM,MM
2021,12,19,15,35,MM,2.6,MM,MM,MM,MM,MM,MM,22,MM,18,8.7,MM,MM
2021,12,19,15,15,MM,0,MM,MM,MM,MM,MM,MM,22,MM,18,8.7,MM,MM
2021,12,19,14,55,MM,2.1,MM,MM,MM,MM,MM,MM,22,MM,19,8.7,MM,MM
2021,12,19,14,35,MM,0,MM,MM,MM,MM,MM,MM,22,MM,19,8.7,MM,MM
2021,12,19,14,15,MM,2.1,MM,MM,MM,MM,MM,MM,22,MM,19,8.7,MM,MM
2021,12,19,13,55,MM,2.6,MM,MM,MM,MM,MM,MM,23,MM,20,8.7,MM,MM
2021,12,19,13,35,MM,2.1,MM,MM,MM,MM,MM,MM,23,MM,20,8.7,MM,MM
2021,12,19,13,15,MM,0,MM,MM,MM,MM,MM,MM,22,MM,20,8.7,MM,MM
2021,12,19,12,55,MM,0,MM,MM,MM,MM,MM,MM,22,MM,20,8.7,MM,MM
2021,12,19,12,35,MM,0,MM,MM,MM,MM,MM,MM,23,MM,20,8.7,MM,MM
2021,12,19,12,15,80,2.1,MM,MM,MM,MM,MM,MM,22,MM,20,8.7,MM,MM
2021,12,19,11,55,130,3.6,MM,MM,MM,MM,MM,MM,22,MM,20,8.7,MM,MM
2021,12,19,11,35,130,4.6,MM,MM,MM,MM,MM,MM,22,MM,20,8.7,MM,MM
2021,12,19,11,15,120,4.1,MM,MM,MM,MM,MM,MM,22,MM,19,8.7,MM,MM
2021,12,19,10,55,60,5.1,MM,MM,MM,MM,MM,MM,21,MM,19,8.7,MM,MM
2021,12,19,10,35,50,3.1,MM,MM,MM,MM,MM,MM,21,MM,19,8.7,MM,MM
2021,12,19,10,15,60,6.2,MM,MM,MM,MM,MM,MM,21,MM,19,8.7,MM,MM
2021,12,19,9,55,MM,2.1,8.8,MM,MM,MM,MM,MM,21,MM,19,8.7,MM,MM
2021,12,19,9,35,MM,1.5,MM,MM,MM,MM,MM,MM,21,MM,19,7.8,MM,MM
2021,12,19,9,15,MM,2.6,MM,MM,MM,MM,MM,MM,21,MM,19,8.7,MM,MM
2021,12,19,8,55,MM,2.6,5.7,MM,MM,MM,MM,MM,21,MM,20,6.1,MM,MM
2021,12,19,8,35,300,5.1,11.3,MM,MM,MM,MM,MM,21,MM,20,0.4,MM,MM
2021,12,19,8,15,MM,6.7,12.9,MM,MM,MM,MM,MM,23,MM,21,7,MM,MM
2021,12,19,7,55,210,4.1,MM,MM,MM,MM,MM,MM,24,MM,21,8.7,MM,MM
2021,12,19,7,35,MM,2.6,MM,MM,MM,MM,MM,MM,24,MM,21,8.7,MM,MM
2021,12,19,7,15,0,MM,5.1,MM,MM,MM,MM,MM,24,MM,20,8.7,MM,MM
2021,12,19,6,55,220,3.6,MM,MM,MM,MM,MM,MM,24,MM,20,8.7,MM,MM
2021,12,19,6,35,220,4.1,MM,MM,MM,MM,MM,MM,24,MM,21,8.7,MM,MM
2021,12,19,6,15,220,3.6,MM,MM,MM,MM,MM,MM,24,MM,21,8.7,MM,MM
2021,12,19,5,55,MM,3.1,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,19,5,35,MM,3.1,6.2,MM,MM,MM,MM,MM,24,MM,23,7.8,MM,MM
2021,12,19,5,15,200,5.7,MM,MM,MM,MM,MM,MM,24,MM,23,7.8,MM,MM
2021,12,19,4,55,210,5.7,MM,MM,MM,MM,MM,MM,24,MM,23,1.3,MM,MM
2021,12,19,4,35,210,5.1,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,4,15,200,6.2,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,3,55,200,5.1,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,3,35,200,5.1,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,3,15,MM,3.1,6.7,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,2,55,190,4.6,7.2,MM,MM,MM,MM,MM,24,MM,23,5.2,MM,MM
2021,12,19,2,35,200,5.7,MM,MM,MM,MM,MM,MM,24,MM,23,4.3,MM,MM
2021,12,19,2,15,210,6.7,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,1,55,210,7.7,MM,MM,MM,MM,MM,MM,24,MM,23,6.1,MM,MM
2021,12,19,1,35,210,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,8.7,MM,MM
2021,12,19,1,15,210,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,7.8,MM,MM
2021,12,19,0,55,210,5.7,MM,MM,MM,MM,MM,MM,24,MM,22,8.7,MM,MM
2021,12,19,0,35,200,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,7,MM,MM
2021,12,19,0,15,190,5.1,MM,MM,MM,MM,MM,MM,24,MM,22,6.1,MM,MM
2021,12,18,23,55,190,5.7,MM,MM,MM,MM,MM,MM,24,MM,22,7.8,MM,MM
2021,12,18,23,35,190,5.7,MM,MM,MM,MM,MM,MM,24,MM,22,7,MM,MM
2021,12,18,23,15,200,4.6,MM,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,22,55,210,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,8.7,MM,MM
2021,12,18,22,35,MM,3.6,7.2,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,22,15,210,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,21,55,210,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,7,MM,MM
2021,12,18,21,35,210,7.7,MM,MM,MM,MM,MM,MM,24,MM,22,6.1,MM,MM
2021,12,18,21,15,200,10.8,MM,MM,MM,MM,MM,MM,24,MM,22,4.3,MM,MM
2021,12,18,20,55,200,8.2,MM,MM,MM,MM,MM,MM,24,MM,23,3.5,MM,MM
2021,12,18,20,35,200,9.3,MM,MM,MM,MM,MM,MM,24,MM,23,3.5,MM,MM
2021,12,18,20,15,200,5.7,MM,MM,MM,MM,MM,MM,24,MM,23,4.3,MM,MM
2021,12,18,19,55,200,5.1,7.7,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,19,35,180,5.1,7.7,MM,MM,MM,MM,MM,24,MM,22,7,MM,MM
2021,12,18,19,15,160,4.6,7.7,MM,MM,MM,MM,MM,24,MM,22,7.8,MM,MM
2021,12,18,18,55,150,5.7,MM,MM,MM,MM,MM,MM,24,MM,22,7.8,MM,MM
2021,12,18,18,35,150,5.1,8.2,MM,MM,MM,MM,MM,24,MM,22,8.7,MM,MM
2021,12,18,18,15,160,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,7.8,MM,MM
2021,12,18,17,55,160,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,7,MM,MM
2021,12,18,17,35,170,4.1,6.7,MM,MM,MM,MM,MM,24,MM,22,4.3,MM,MM
2021,12,18,17,15,160,5.1,MM,MM,MM,MM,MM,MM,24,MM,22,4.3,MM,MM
2021,12,18,16,55,150,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,4.3,MM,MM
2021,12,18,16,35,150,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,16,15,150,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,6.1,MM,MM
2021,12,18,15,55,150,6.2,MM,MM,MM,MM,MM,MM,24,MM,22,4.3,MM,MM
2021,12,18,15,35,150,6.2,MM,MM,MM,MM,MM,MM,24,MM,23,4.3,MM,MM
2021,12,18,15,15,150,5.7,MM,MM,MM,MM,MM,MM,24,MM,23,3.5,MM,MM
2021,12,18,14,55,160,5.7,8.8,MM,MM,MM,MM,MM,24,MM,23,3.5,MM,MM
2021,12,18,14,35,150,7.2,MM,MM,MM,MM,MM,MM,24,MM,23,4.3,MM,MM
2021,12,18,14,15,150,6.7,MM,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,13,55,160,5.1,8.2,MM,MM,MM,MM,MM,24,MM,22,5.2,MM,MM
2021,12,18,13,35,150,6.7,MM,MM,MM,MM,MM,MM,23,MM,22,3.5,MM,MM
2021,12,18,13,15,160,5.7,MM,MM,MM,MM,MM,MM,23,MM,22,3.5,MM,MM
2021,12,18,12,55,170,5.7,MM,MM,MM,MM,MM,MM,23,MM,22,4.3,MM,MM
2021,12,18,12,35,170,5.1,8.8,MM,MM,MM,MM,MM,23,MM,22,4.3,MM,MM
2021,12,18,12,15,160,5.7,MM,MM,MM,MM,MM,MM,23,MM,22,4.3,MM,MM
2021,12,18,11,55,170,5.1,8.8,MM,MM,MM,MM,MM,23,MM,22,5.2,MM,MM
2021,12,18,11,35,160,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,4.3,MM,MM
2021,12,18,11,15,160,5.7,MM,MM,MM,MM,MM,MM,23,MM,22,5.2,MM,MM
2021,12,18,10,55,150,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,5.2,MM,MM
2021,12,18,10,35,150,5.1,7.7,MM,MM,MM,MM,MM,23,MM,22,7.8,MM,MM
2021,12,18,10,15,160,4.6,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,9,55,160,6.7,MM,MM,MM,MM,MM,MM,23,MM,22,7,MM,MM
2021,12,18,9,35,150,5.1,MM,MM,MM,MM,MM,MM,23,MM,22,6.1,MM,MM
2021,12,18,9,15,160,4.1,7.2,MM,MM,MM,MM,MM,23,MM,22,7,MM,MM
2021,12,18,8,55,170,5.1,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,8,35,160,6.2,9.3,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,8,15,160,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,7,55,160,5.1,8.2,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,7,35,150,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,7,15,160,5.1,8.2,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,6,55,160,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,8.7,MM,MM
2021,12,18,6,35,150,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,7.8,MM,MM
2021,12,18,6,15,150,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,7.8,MM,MM
2021,12,18,5,55,150,6.2,8.8,MM,MM,MM,MM,MM,23,MM,22,6.1,MM,MM
2021,12,18,5,35,150,7.7,MM,MM,MM,MM,MM,MM,23,MM,22,7,MM,MM
2021,12,18,5,15,150,6.2,MM,MM,MM,MM,MM,MM,23,MM,22,7.8,MM,MM
2021,12,18,4,55,150,8.2,MM,MM,MM,MM,MM,MM,23,MM,22,6.1,MM,MM
